﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5BLWhpQDsNnMqrGF5oKmBd","Thank These Stars","Celadon City","The Vault: 24","1","16","219759","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:0UQHTeduoNmFrgdCyd7tRE","Showdown","Zuper","Blend","1","4","177017","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:1CG8F2JGPMhUwtDk2M53m9","Light Words VAO","Charles Murdoch, Steffaloo","Weathered Straight","1","3","268828","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:1I8F8mpmuFvemoeO3AVren","Make You Wanna","Ta-ku","Do What You Love","1","3","149026","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:5cBh5l6DB3VRQKmF1WXWLx","To Lose","Oceaán","The Oceaán E.P","1","2","169683","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:1iDtrELlB1TxnZywSnkaMX","Who Do You Love?","Rain Dog","There Be Monsters","1","7","250465","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:0TMIyn5oOz56mwurbtzJla","Observe","Moods","Another Point of View","1","4","185004","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:5lF8lja9Dv4JUsQ9e7fFym","Slow, In Ashes - Original Mix","Matt Lange","Altered Tensions - The Answer To The Question You Forgot To Ask","1","11","312000","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:0M7ZlP2RfhlrV5Jc7LkBRj","At the River","Groove Armada","The Best Of","1","4","393373","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:7tJeR01L4LKRDRj9Q3live","Long Gone","William Stark","Long Gone - Single","1","1","335070","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:4VfglkM4us9HzcSD8RsboS","The World Is My Shotgun","Rain Dog","Two Words","1","11","251524","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:2EZ7nEuAGhjH9WophsDKe5","Lamborghini - Original Mix","Pascäal","Lamborghini / Apollo","1","1","337786","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:034FwA8Giro4wtyPKhWYq6","Writers Block","Rain Dog","Finest Ego | Faces Series Vol. 3","1","9","273607","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:6rcBB3zLdFn6RjEzienOdm","Before I Move Off","Mount Kimbie","Crooks & Lovers","1","3","250338","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:5IVF6G0wk3icpfq9UUOmVx","The Basis","Lack Of Afro","My Groove, Your Move","1","8","310466","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:4ZbxSqLBIBDzuur5qTVbJi","I Robbed A Bank","Hippie Sabotage","Vol. 2","1","1","248613","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:7qNWSAnjf9fhoeCNNAIjGo","Test & Recognise - Flume Re-work","Seekae","Test & Recognise (Remixes)","1","2","303660","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:567p4dy5WSfuiJQhS7CHDm","Landscape","Epic Empire","Landscape","1","2","237333","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:4Y2W4zKa3q72ztbkA0r8Va","Dayvan Cowboy","Boards of Canada","The Campfire Headphase","1","5","300186","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:4RP2ESMudFtWGGR7ntVrEp","Pure Evil - Instrumental","Atmosphere","Fishing Blues (Instrumental Version)","1","4","200026","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:0fhtrLOu3hQYfWxdQ1V2eu","Let It Go (feat. The Pharcyde) - Regrind '09","Rae & Christian, The Pharcyde","Raiding The Vaults","1","7","201573","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:6QBqzKv1bRMgh19mCsLRfS","Threes","Papadosio","Pattern Integrities","1","3","332974","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:7qDDBmKIdhQondMs3UiBJn","It's Very Sunny","Casino Versus Japan","Go Hawaii","1","2","285666","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:6xiFjrkJ9scAisVNka6ZcE","America Video","Kettel","Volleyed Iron","1","2","354546","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:2uc0oSbzKVaQofelwYVDDo","Kroost Kids","Kettel","Myam James Part 1","1","3","309029","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:185G7KkOiCGnYhUrORtfEV","Infotain Me","Ochre","Lemodie","1","4","371000","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:4vU5TfGGHeIwKVzWSov8TM","Awash","Manual","Awash","1","1","339000","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:7jHQ4qL93x0wpgxaFpXnJN","Fahrenheit Fair Enough","Telefon Tel Aviv","Fahrenheit Fair Enough (Single)","1","1","400293","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:7qzeJS17LVxmTv6B6ZIg7y","The Birds","Telefon Tel Aviv","Immolate Yourself","1","1","398492","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:2ZPs5cRXeDX0U9pQ7Se6hd","Your Mouth","Telefon Tel Aviv","Immolate Yourself","1","2","248786","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:6CIOAJZ2tQjtcfWMV8EZ5S","Immolate Yourself","Telefon Tel Aviv","Immolate Yourself","1","10","338412","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:2rxkCfkZ4UY3LfUPQE3Mi3","Cuckoo","Tipper","Broken Soul Jamboree","1","2","291128","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:1WgdK24BDpkgBatX2FZoOR","Dead Soon","Tipper","Broken Soul Jamboree","1","5","311111","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:4ia8kek3rF0ZznYWjgli9J","Paper Knife","Yppah","Eighty One","1","8","267000","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:3AuSogI89rld1KqfUpL3Np","Kerala","Bonobo","Kerala","1","1","237546","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:5p9ckBDwH86eMi4LCrIKTA","El Cargo","Amon Tobin","Chaos Theory","1","5","263933","spotify:user:yaydevally","2016-11-07T07:10:18Z"
"spotify:track:3FyPX5hQWCjfQgBmM7yY8j","We Are Water","Papadosio","T.E.T.I.O.S.","1","2","374026","spotify:user:yaydevally","2016-11-08T08:48:29Z"
"spotify:track:5zMkbjQwmhHbwNCHhTqdk2","Playing with Fire","Redinho","Redinho","1","3","256626","spotify:user:yaydevally","2016-11-16T18:07:18Z"
"spotify:track:4Xhhj19dCT1Irw6qgn3xpj","Wake Up And Smell The Millennium","Nobody","And Everything Else...","1","10","210693","spotify:user:yaydevally","2016-11-18T12:49:44Z"
"spotify:track:6ziG6v71gXjopMFlKdmQIP","Dead Editors","Massive Attack, Roots Manuva","Ritual Spirit","1","1","285878","spotify:user:yaydevally","2016-11-18T19:17:58Z"
"spotify:track:0baZKQBd7l8S2b4gkkbXae","No More","Jafu","No More","1","1","199970","spotify:user:yaydevally","2016-11-18T19:48:15Z"
"spotify:track:1XIsfNsTllvBtGEayIfz0S","Grown Up - Instrumental","Danny Brown","Grown Up","1","3","139930","spotify:user:yaydevally","2016-11-20T09:48:26Z"
"spotify:track:78U6lqeWK6Uie4jneibj9o","Once in a While (feat. Sonya Kitchell)","Break Science, Sonya Kitchell","Seven Bridges","1","12","193411","spotify:user:yaydevally","2016-11-18T20:41:49Z"
"spotify:track:2Hjxe8EUqqiN6qlfOoFrWf","Daylight Savings","Silkie","The Lost Tapes Vol. 1","1","6","304953","spotify:user:yaydevally","2016-11-18T21:42:37Z"
"spotify:track:5mkubPuSY6SxWXRHPTyEzL","4/15/1998","Rob Viktum","Progress 2","1","11","144536","spotify:user:yaydevally","2016-11-20T16:06:15Z"
"spotify:track:20Wu65TWDvjqRK4Rrzsmp8","No Government","Nicolette","Trip Hop Classics By Kid Loco","2","12","332612","spotify:user:yaydevally","2016-11-20T16:09:50Z"
"spotify:track:53RRSSDnV1vn7R13PwQvns","River","Talvin Singh, Niladri Kumar","Together","1","1","355866","spotify:user:yaydevally","2016-11-20T16:10:03Z"
"spotify:track:4appx9msZbhhFpSrKOlVz1","Rebirth","A Forest Mighty Black","Mellowdramatic","1","9","439160","spotify:user:yaydevally","2016-11-20T16:10:26Z"
"spotify:track:4bxbSJqs4H4HcMPVhLprfJ","A Beautiful Mine (Theme Music from Mad Men)","RJD2","Magnificent City Instrumentals","1","14","329093","spotify:user:yaydevally","2016-11-20T16:11:16Z"
"spotify:track:77ST2uaKmruGJnypo0T4Qu","Snakes in the Grass","Quantic","The 5th Exotic","1","3","311360","spotify:user:yaydevally","2016-11-20T16:11:46Z"
"spotify:track:5yNjQlN7GkXWJi1XxQuLH1","Beer Goggle Blues","The Q4","Darker Days","1","2","134760","spotify:user:yaydevally","2016-11-20T16:12:40Z"
"spotify:track:3Tgq9GyvPLeDwxBCVrm0NL","Darkrum","Anchorsong","Chapters","1","4","261519","spotify:user:yaydevally","2016-11-20T16:12:48Z"
"spotify:track:14ms0ahJlgHYumrDLosyPU","A Festa","Trüby Trio","Elevator Music","1","6","411000","spotify:user:yaydevally","2016-11-20T16:12:48Z"
"spotify:track:18Dcb4GPaunhCICmVGTnhx","Babe I'm Gonna Leave You","Kognitif","My Space World","1","2","222738","spotify:user:yaydevally","2016-11-20T16:18:26Z"
"spotify:track:7HCB4FZijpCy7EhyfsSDmr","Pretend","The Brandt Brauer Frick Ensemble","Mr. Machine","1","3","449212","spotify:user:yaydevally","2016-11-20T16:27:08Z"
"spotify:track:0WuQYFqYHDgCbtKups3Ciu","Forgotten Places","Alif Tree","French Cuisine","1","4","291186","spotify:user:yaydevally","2016-11-20T16:28:49Z"
"spotify:track:3DMDRKEVIP3mAbhBD4Fj1H","Keep Going feat.Tony Joe White","Boozoo Bajou","Dust My Broom","1","1","297933","spotify:user:yaydevally","2016-11-20T16:33:07Z"
"spotify:track:6yhDWGjfTMYz6QdSP3HhiK","Yesterday","Waiwan","Distraction","1","4","464426","spotify:user:yaydevally","2016-11-20T17:28:41Z"
"spotify:track:5qkbZ4lvYd1JkDxQNt11XC","Undercurrent","Megashira","At Last","1","2","383533","spotify:user:yaydevally","2016-11-20T17:30:40Z"
"spotify:track:0iiSAp1VHPdjglnZ4paBfW","Turtle Soup - Wagon Christ Mix","DJ Food","Refried Food","1","15","475373","spotify:user:yaydevally","2016-11-21T13:47:00Z"
"spotify:track:2wdHyqjX2qrU4gtwo4vqJE","Rituals","Sekuoia","Finest Ego | Faces Series Vol. 3","1","5","289773","spotify:user:yaydevally","2016-11-21T13:49:17Z"
"spotify:track:77zkKx7Y8nkRsokiTKcHuZ","Terra","Daega Sound","The Bloom Series Vol 1 : Fundamental Frequencies","1","6","367831","spotify:user:yaydevally","2016-11-22T12:14:58Z"
"spotify:track:7DT4qnBBQmdBsh3MNPiVRN","Acrylic","Frederic Robinson","Flea Waltz","1","2","205960","spotify:user:yaydevally","2016-11-22T12:20:32Z"
"spotify:track:5tFMDJhfWdOlBdEpLG6MQP","Sizzle","Frederic Robinson","Flea Waltz","1","3","188813","spotify:user:yaydevally","2016-11-22T12:21:35Z"
"spotify:track:7AmLz3LWwVgCSEbUlsPsdX","Mixed Signals - Synkro Remix","Frederic Robinson","Vamp EP (EP)","1","4","530940","spotify:user:yaydevally","2016-11-22T12:23:39Z"
"spotify:track:50z74DjumHhnzTbosz0k8G","Breathing","Frederic Robinson, Lily Juniper","Flea Waltz","1","4","221626","spotify:user:yaydevally","2016-11-22T12:24:13Z"
